Pipeline: KRR
Actual \ Predicted,SUPPORTS,REFUTES,NOT ENOUGH INFO
SUPPORTS,2,0,1
REFUTES,0,2,0
NOT ENOUGH INFO,0,0,1

Pipeline: Baseline
Actual \ Predicted,SUPPORTS,REFUTES,NOT ENOUGH INFO
SUPPORTS,3,0,0
REFUTES,1,1,0
NOT ENOUGH INFO,1,0,0

